reference,office,opened,closed,case_type,band,worker,extract_date
CC-2024-19656,Calder Central,2024-12-04,2025-01-13,Standard,High,W217,2026-01-14
CC-2025-90746,Calder Central,2025-03-26,2025-04-06,Expedited,Low,W222,2026-01-14
CC-2023-15264,Weybridge,2023-11-27,2024-01-05,Standard,,W104,2026-01-14
CC-2024-15588,Weybridge,2024-06-03,2024-10-23,Complex,Medium,W211,2026-01-14
CC-2025-15304,Calder Central,2025-06-07,2025-07-24,Expedited,High,W248,2026-01-14
CC-2024-11691,Weybridge,2024-12-22,2025-03-18,Review,High,W152,2026-01-14
CC-2024-10066,Northgate,2024-07-17,2024-09-12,Complex,Low,W110,2026-01-14
CC-2025-90477,Weybridge,2025-10-05,,Review,Low,W182,2026-01-14
CC-2023-20695,Calder Central,2023-10-10,2023-12-01,Review,,W147,2026-01-14
CC-2025-14213,Calder Central,2025-11-06,2025-12-20,Complex,Medium,W122,2026-01-14
CC-2025-12816,Weybridge,2025-07-13,2025-08-12,Expedited,Low,W218,2026-01-14
CC-2024-90051,Northgate,2024-01-30,2024-02-21,Standard,,W220,2026-01-14
CC-2025-90685,Calder Central,2025-07-30,2025-09-07,Review,Medium,W222,2026-01-14
CC-2025-16110,Calder Central,2025-02-17,2025-03-18,Review,Medium,W255,2026-01-14
CC-2023-22801,Northgate,2023-07-20,2023-08-14,Review,,W215,2026-01-14
CC-2025-18456,Weybridge,2025-04-09,2025-07-27,Standard,Low,W159,2026-01-14
CC-2024-16194,Calder Central,2024-04-14,2024-07-02,Review,Medium,W162,2026-01-14
CC-2024-90206,Calder Central,2024-07-22,2024-09-20,Review,Low,W143,2026-01-14
CC-2023-15528,Calder Central,2023-07-20,2023-07-31,Expedited,,W125,2026-01-14
CC-2025-23905,Calder Central,2025-12-11,,Review,Medium,W145,2026-01-14
CC-2024-11153,Calder Central,2024-02-04,2024-02-17,Expedited,,W253,2026-01-14
CC-2024-11609,Northgate,2024-01-26,2024-03-21,Complex,,W257,2026-01-14
CC-2025-22905,Calder Central,2025-08-02,2025-10-11,Standard,Low,W112,2026-01-14
CC-2025-19533,Northgate,2025-07-24,2025-02-11,Review,Medium,W102,2026-01-14
CC-2024-18484,Calder Central,2024-10-22,2025-01-17,Complex,Medium,W237,2026-01-14
CC-2025-17168,Weybridge,2025-11-26,,Appeal,High,W253,2026-01-14
CC-2025-22525,Weybridge,2025-04-04,2025-08-23,Review,Medium,W161,2026-01-14
CC-2023-23252,Weybridge,2023-10-29,2024-01-06,Standard,,W125,2026-01-14
CC-2025-11310,Calder Central,2025-05-11,2025-07-05,Review,High,W130,2026-01-14
CC-2023-21426,Weybridge,2023-11-30,2023-12-30,Standard,,W105,2026-01-14
CC-2025-90161,Calder Central,2025-03-13,2025-04-10,Standard,Medium,W174,2026-01-14
CC-2025-15243,Weybridge,2025-03-21,2025-05-21,Standard,Low,W112,2026-01-14
CC-2025-18564,Calder Central,2025-05-29,2025-07-06,Standard,High,W124,2026-01-14
CC-2025-90085,Calder Central,2025-02-27,2025-04-13,Review,High,W203,2026-01-14
CC-2025-90136,Calder Central,2025-10-10,2025-11-19,Standard,Low,W104,2026-01-14
CC-2023-21187,Calder Central,2023-07-29,2024-03-05,Complex,,W201,2026-01-14
CC-2025-13095,Northgate,2025-04-28,2025-06-06,Standard,High,W237,2026-01-14
CC-2024-21981,Weybridge,2024-04-09,2024-05-20,Standard,Medium,W212,2026-01-14
CC-2024-19417,Calder Central,2024-05-24,2024-06-08,Standard,Medium,W186,2026-01-14
CC-2025-22803,Northgate,2025-08-15,2025-09-25,Standard,Medium,W140,2026-01-14
CC-2024-22113,Calder Central,2024-06-10,2024-06-28,Standard,Medium,W208,2026-01-14
CC-2025-90321,Northgate,2025-05-20,2025-07-23,Complex,Low,W229,2026-01-14
CC-2024-16326,Northgate,2024-05-12,2024-07-20,Review,Low,W221,2026-01-14
